Istaigos_kodas,Gydytojo ID,Laisvos registracijos data,Įrašo_sukurimo_data
124244754,1212,2019-03-15 12:15:00,2019-03-12 14:55:37
124244754,1105,2019-03-13 14:45:00,2019-03-12 14:55:37
124244754,1312,2019-03-14 08:15:00,2019-03-12 14:55:38
124244754,133,2019-03-14 10:00:00,2019-03-12 14:55:38
124244754,539,,2019-03-12 14:55:38
124244754,1302,2019-03-26 09:15:00,2019-03-12 14:55:39
124244754,307,2019-03-20 09:45:00,2019-03-12 14:55:39
124244754,1208,2019-03-18 15:00:00,2019-03-12 14:55:40
124244754,1116,2019-03-12 16:45:00,2019-03-12 14:55:40
124244754,444,2019-03-14 12:00:00,2019-03-12 14:55:40
124244754,420,2019-03-14 16:15:00,2019-03-12 14:55:41
124244754,460,2019-03-19 09:45:00,2019-03-12 14:55:41
124244754,306,2019-03-19 12:45:00,2019-03-12 14:55:41
124244754,421,,2019-03-12 14:55:41
124244754,1121,2019-03-14 07:45:00,2019-03-12 14:55:42
124244754,1403,2019-03-14 17:45:00,2019-03-12 14:55:42
124244754,1119,2019-03-14 08:45:00,2019-03-12 14:55:42
124244754,127,2019-03-21 16:45:00,2019-03-12 14:55:43
124244754,129,2019-03-14 09:45:00,2019-03-12 14:55:43
124244754,206,2019-04-09 10:00:00,2019-03-12 14:55:43
124244754,448,2019-03-14 16:45:00,2019-03-12 14:55:43
124244754,308,2019-03-18 17:45:00,2019-03-12 14:55:44
124244754,304,2019-04-01 15:00:00,2019-03-12 14:55:44
124244754,107,2019-03-15 18:30:00,2019-03-12 14:55:44
124244754,1415,2019-03-19 16:30:00,2019-03-12 14:55:45
124244754,1120,2019-03-12 15:30:00,2019-03-12 14:55:45
124244754,130,2019-03-21 16:45:00,2019-03-12 14:55:45
124244754,128,2019-03-18 14:45:00,2019-03-12 14:55:45
124244754,404,2019-03-19 16:45:00,2019-03-12 14:55:46
124244754,126,2019-03-19 12:15:00,2019-03-12 14:55:46
124244754,1117,2019-03-14 08:45:00,2019-03-12 14:55:46
124244754,405,2019-03-14 09:45:00,2019-03-12 14:55:46
124244754,301,2019-03-18 14:45:00,2019-03-12 14:55:47
124244754,302,,2019-03-12 14:55:47
124244754,219,2019-03-18 19:00:00,2019-03-12 14:55:47
124244754,407,2019-03-26 07:45:00,2019-03-12 14:55:47
124244754,462,2019-03-14 09:45:00,2019-03-12 14:55:48
124244754,215,2019-03-19 08:00:00,2019-03-12 14:55:48
124244754,1122,2019-03-13 14:15:00,2019-03-12 14:55:48
124244754,213,2019-03-19 10:00:00,2019-03-12 14:55:49
124244754,208,2019-03-27 07:45:00,2019-03-12 14:55:49
124244754,118,2019-03-21 16:45:00,2019-03-12 14:55:49
124244754,1205,2019-03-15 08:45:00,2019-03-12 14:55:49
124244754,106,2019-03-14 07:45:00,2019-03-12 14:55:50
124244754,211,2019-03-19 09:45:00,2019-03-12 14:55:50
124244754,1210,2019-03-14 14:30:00,2019-03-12 14:55:51
124244754,1303,2019-03-14 16:30:00,2019-03-12 14:55:51
124244754,1114,2019-03-14 11:15:00,2019-03-12 14:55:52
124244754,1115,2019-03-15 09:00:00,2019-03-12 14:55:52